DDS_TRADETIME,DDSSWAPS_TRADETIME,ISIN,PRICE,DKSW30,DKSW10,DKSW5,DKSW2,FUT_BUND,FUT_BOBL,FUT_SCHATZ
2020-08-28 10:40:22,2020-08-28 10:40:22,"DK0009397739",99.14997,0.276774,0.08318,-0.12214,-0.144216,175.584477,134.68649,112.006713
2020-08-28 10:40:25,2020-08-28 10:40:25,"DK0009397739",99.14997,0.276969,0.083325,-0.12214,-0.144167,175.584477,134.68649,112.006713
2020-08-28 10:58:59,2020-08-28 10:58:59,"DK0002047307",98.199969,0.273481,0.079761,-0.122678,-0.145536,175.524478,134.646489,112.016713
2020-08-28 11:05:40,2020-08-28 11:05:40,"DK0009524944",98.025,0.273667,0.081226,-0.121783,-0.145073,175.494478,134.62649,112.016713
2020-08-28 11:05:58,2020-08-28 11:05:58,"DK0006348164",99.675007,0.273853,0.081171,-0.121563,-0.145,175.494478,134.62649,112.016713
2020-08-28 11:06:31,2020-08-28 11:06:31,"DK0004612025",101.075046,0.273572,0.081214,-0.121557,-0.145103,175.504479,134.646489,112.016713
2020-08-28 11:07:24,2020-08-28 11:07:24,"DK0009397499",100.260002,0.271937,0.079851,-0.121403,-0.14518,175.474478,134.646489,112.016713
2020-08-28 11:07:59,2020-08-28 11:07:59,"DK0009524431",99.02497,0.271662,0.080018,-0.121589,-0.144967,175.474478,134.646489,112.016713
2020-08-28 11:07:59,2020-08-28 11:07:59,"DK0009397499",100.260002,0.271662,0.080018,-0.121589,-0.144967,175.474478,134.646489,112.016713
2020-08-28 11:08:10,2020-08-28 11:08:10,"DK0006348677",98.700004,0.271605,0.079838,-0.121327,-0.144971,175.474478,134.646489,112.016713
2020-08-28 11:28:54,2020-08-28 11:28:54,"DK0009297434",103.25,0.269787,0.08102,-0.121647,-0.146004,175.574478,134.676489,112.006713
2020-08-28 11:40:59,2020-08-28 11:40:59,"DK0009297194",103.925016,0.266775,0.078786,-0.12441,-0.14608,175.544478,134.666489,112.006713
2020-08-28 11:44:59,2020-08-28 11:44:59,"DK0009403131",98.174969,0.266931,0.079018,-0.124126,-0.14577,175.484477,134.656489,112.016713
2020-08-28 11:44:59,2020-08-28 11:44:59,"DK0004616018",98.149969,0.266931,0.079018,-0.124126,-0.14577,175.484477,134.656489,112.016713
